shouldReplace	verb	genre	number	noun	verbFreq	nounFreq
True	aiguiser	masculine	singular	aiguisement	0	3
True	aimanter	feminine	singular	aimantation	0	163
True	ajourer	masculine	singular	ajourage	0	2
True	ajourner	masculine	singular	ajournement	0	75
True	ajouter	masculine	singular	ajout	0	12167
True	ajuster	masculine	singular	ajustage	0	21
True	ajuster	masculine	singular	ajustement	0	465
True	alcaliniser	feminine	singular	alcalinisation	0	8
True	alcooliser	feminine	singular	alcoolisation	0	34
True	aléser	masculine	singular	alésage	0	310
True	aleviner	masculine	singular	alevinage	0	8
True	algébriser	feminine	singular	algébrisation	0	3
True	aliéner	feminine	singular	aliénation	0	350
True	aligner	masculine	singular	alignement	0	1399
True	alimenter	feminine	singular	alimentation	0	8455
True	aliter	masculine	singular	alitement	0	13
True	alkyler	feminine	singular	alkylation	0	34
True	allaiter	masculine	singular	allaitement	0	292
True	alléger	feminine	singular	allégeance	0	560
True	alléger	masculine	singular	allégement	0	35
True	allégrer	masculine	singular	allégrement	0	24
True	alléguer	feminine	singular	allégation	0	57
True	aller	feminine	singular	allée	0	1272
True	aller	masculine	singular	aller	0	13086
True	allier	masculine	singular	alliage	0	996
True	allier	feminine	singular	alliance	0	10742
True	allonger	masculine	singular	allongement	0	580
True	allotir	masculine	singular	allotissement	0	4
True	allouer	feminine	singular	allocation	0	789
True	allumer	masculine	singular	allumage	0	479
True	alluvionner	masculine	singular	alluvionnement	0	3
True	alourdir	masculine	singular	alourdissement	0	25
True	alphabétiser	feminine	singular	alphabétisation	0	539
True	altérer	feminine	singular	altération	0	850
True	alterner	feminine	singular	alternance	0	1448
True	alterner	masculine	singular	alternat	0	12
True	alunir	masculine	singular	alunissage	0	64
True	amaigrir	masculine	singular	amaigrissement	0	87
True	amalgamer	feminine	singular	amalgamation	0	16
True	amariner	masculine	singular	amarinage	0	2
True	amarrer	masculine	singular	amarrage	0	211
True	amasser	masculine	singular	amassement	0	1
True	améliorer	feminine	singular	amélioration	0	3892
True	aménager	masculine	singular	aménagement	0	4635
True	amender	masculine	singular	amendement	0	1327
True	amenuiser	masculine	singular	amenuisement	0	5
True	américaniser	feminine	singular	américanisation	0	31
True	amerrir	masculine	singular	amerrissage	0	31
True	ameubler	masculine	singular	ameublement	0	355
True	ameublir	masculine	singular	ameublissement	0	1
True	amincir	masculine	singular	amincissement	0	29
True	amnistier	feminine	singular	amnistie	0	775
True	amodier	feminine	singular	amodiation	0	3
True	amoindrir	masculine	singular	amoindrissement	0	14
True	amollir	masculine	singular	amollissement	0	3
True	amonceler	masculine	singular	amoncèlement	0	1
True	amonceler	masculine	singular	amoncellement	0	49
True	amorcer	masculine	singular	amorçage	0	189
True	amortir	masculine	singular	amortissage	0	1
True	amortir	masculine	singular	amortissement	0	358
True	amplier	feminine	singular	ampliation	0	1
True	amplier	feminine	singular	amplication	0	1
True	amplifier	feminine	singular	amplification	0	489
True	amputer	feminine	singular	amputation	0	222
True	amuïr	masculine	singular	amuïssement	0	59
True	amuser	masculine	singular	amusement	0	274
True	analyser	feminine	singular	analyse	0	12718
True	ancrer	masculine	singular	ancrage	0	473
True	anéantir	masculine	singular	anéantissement	0	237
True	angliciser	feminine	singular	anglicisation	0	34
True	animaliser	feminine	singular	animalisation	0	2
True	animer	feminine	singular	animation	0	10344
True	anneler	feminine	singular	annellation	0	2
True	annexer	feminine	singular	annexion	0	1627
True	annihiler	feminine	singular	annihilation	0	257
True	annoncer	feminine	singular	annonce	0	8512
True	annoncer	feminine	singular	annonciation	0	387
True	annoter	feminine	singular	annotation	0	100
True	annuler	feminine	singular	annulation	0	987
True	anoblir	masculine	singular	anoblissement	0	55
True	anodiser	feminine	singular	anodisation	0	16
True	anser	masculine	singular	ansage	0	3
True	antagoniser	feminine	singular	antagonisation	0	1
True	antéposer	feminine	singular	antéposition	0	23
True	anticiper	feminine	singular	anticipation	0	913
True	antiparasiter	masculine	singular	antiparasitage	0	3
True	aoûter	masculine	singular	aoûtement	0	5
True	apaiser	masculine	singular	apaisement	0	256
True	apercevoir	feminine	singular	aperception	0	7
True	apiquer	masculine	singular	apiquage	0	4
True	apitoyer	masculine	singular	apitoiement	0	5
True	aplanir	masculine	singular	aplanissement	0	11
True	aplatir	masculine	singular	aplatissement	0	124
True	apparaître	feminine	singular	apparition	0	11998
True	appareiller	masculine	singular	appareillage	0	321
True	apparenter	masculine	singular	apparentement	0	27
True	apparier	masculine	singular	appariement	0	58
True	appartenir	feminine	singular	appartenance	0	2306
True	appâter	masculine	singular	appâtage	0	1
True	appauvrir	masculine	singular	appauvrissement	0	180
True	appeler	feminine	singular	appellation	0	5742
True	appeler	masculine	singular	appel	0	14898
True	appertiser	feminine	singular	appertisation	0	19
True	appéter	feminine	singular	appétition	0	3
True	applaudir	masculine	singular	applaudissement	0	22
True	appliquer	feminine	singular	application	0	10967
True	apponter	masculine	singular	appontage	0	72
True	apporter	masculine	singular	apport	0	2384
True	apposer	masculine	singular	apposement	0	1
True	apposer	feminine	singular	apposition	0	195
True	apprécier	feminine	singular	appréciation	0	855
True	appréhender	feminine	singular	appréhension	0	193
True	apprendre	masculine	singular	apprentissage	0	4064
True	apprêter	masculine	singular	apprêtage	0	1
True	apprêter	masculine	singular	apprêt	0	42
True	apprivoiser	masculine	singular	apprivoisement	0	15
True	approcher	masculine	singular	approchement	0	1
True	approcher	feminine	singular	approche	0	7937
True	approfondir	masculine	singular	approfondissement	0	269
True	approprier	feminine	singular	appropriation	0	341
True	approprier	masculine	singular	appropriement	0	2
True	approuver	feminine	singular	approbation	0	1199
True	approvisionner	masculine	singular	approvisionnement	0	1336
True	approximer	feminine	singular	approximation	0	1075
True	appuyer	masculine	singular	appui	0	4502
True	apurer	masculine	singular	apurement	0	9
True	arabiser	feminine	singular	arabisation	0	67
True	araser	masculine	singular	arasage	0	1
True	araser	masculine	singular	arasement	0	16
True	arbitrer	masculine	singular	arbitrage	0	4014
True	arbitrer	feminine	singular	arbitration	0	49
True	archiver	masculine	singular	archivage	0	481
True	argenter	masculine	singular	argentage	0	1
True	argenter	feminine	singular	argentation	0	1
True	argenter	feminine	singular	argenture	0	11
True	argumenter	feminine	singular	argumentation	0	701
True	aristocratiser	feminine	singular	aristocratisation	0	2
True	arithmétiser	feminine	singular	arithmétisation	0	7
True	armer	masculine	singular	armement	0	4522
True	arnaquer	feminine	singular	arnaque	0	168
True	aromatiser	feminine	singular	aromatisation	0	12
True	arpéger	masculine	singular	arpègement	0	3
True	arpenter	masculine	singular	arpentage	0	76
True	arracher	masculine	singular	arrachage	0	87
True	arracher	masculine	singular	arrachement	0	52
True	arraisonner	masculine	singular	arraisonnement	0	19
True	arranger	masculine	singular	arrangement	0	1055
True	arrenter	masculine	singular	arrentement	0	1
True	arrêter	feminine	singular	arrestation	0	2171
True	arrêter	masculine	singular	arrêt	0	6838
True	arrimer	masculine	singular	arrimage	0	76
True	arriver	masculine	singular	arrivage	0	12
True	arriver	feminine	singular	arrivée	0	13110
True	arrondir	masculine	singular	arrondissage	0	2
True	arrondir	masculine	singular	arrondissement	0	82171
True	arrondir	feminine	singular	arrondissure	0	1
True	arroser	masculine	singular	arrosage	0	237
True	articuler	feminine	singular	articulation	0	1681
True	artificialiser	feminine	singular	artificialisation	0	25
True	ascender	feminine	singular	ascendance	0	712
True	ascender	feminine	singular	ascension	0	5316
True	ascendre	feminine	singular	ascendance	0	712
True	ascendre	feminine	singular	ascension	0	5316
True	ascensionner	feminine	singular	ascension	0	5316
True	aseptiser	feminine	singular	aseptie	0	13
True	aseptiser	feminine	singular	aseptisation	0	5
True	asperger	feminine	singular	aspersion	0	54
True	asphalter	masculine	singular	asphaltage	0	3
True	aspirer	feminine	singular	aspiration	0	520
True	assagir	masculine	singular	assagissement	0	4
True	assaillir	masculine	singular	assaut	0	3560
True	assainir	masculine	singular	assainissement	0	816
True	assaisonner	masculine	singular	assaisonnement	0	62
True	assassiner	masculine	singular	assassinat	0	4139
True	assécher	masculine	singular	assèchement	0	256
True	assembler	masculine	singular	assemblage	0	1504
True	assembler	masculine	singular	assemblement	0	15
True	assentir	masculine	singular	assentement	0	2
True	assentir	masculine	singular	assentiment	0	243
True	assentir	masculine	singular	assentissement	0	1
True	assermenter	feminine	singular	assermentation	0	57
True	asservir	masculine	singular	asservissement	0	172
True	assibiler	feminine	singular	assibilation	0	8
True	assiéger	masculine	singular	assiègement	0	1
True	assigner	feminine	singular	assignation	0	166
True	assigner	masculine	singular	assignement	0	29
True	assimiler	feminine	singular	assimilation	0	816
True	assister	feminine	singular	assistance	0	2960
True	associer	feminine	singular	association	0	27703
True	assoler	masculine	singular	assolement	0	69
True	assombrir	masculine	singular	assombrissement	0	39
True	assoner	feminine	singular	assonance	0	44
True	assortir	masculine	singular	assortiment	0	95
True	assoupir	masculine	singular	assoupissement	0	25
True	assouplir	masculine	singular	assouplissement	0	144
True	assourdir	masculine	singular	assourdissement	0	11
True	assouvir	masculine	singular	assouvissement	0	20
True	assujettir	masculine	singular	assujettissement	0	63
True	assumer	feminine	singular	assomption	0	1088
True	assurer	masculine	singular	assurage	0	60
True	assurer	feminine	singular	assurance	0	2477
True	asticoter	masculine	singular	asticotage	0	1
True	astiquer	masculine	singular	astiquage	0	1
True	astiquer	masculine	singular	astique	0	4
True	atermoyer	masculine	singular	atermoiement	0	1
True	atomiser	feminine	singular	atomisation	0	20
True	atrophier	feminine	singular	atrophie	0	148
True	attacher	masculine	singular	attachage	0	1
True	attacher	feminine	singular	attache	0	1648
True	attaquer	feminine	singular	attaque	0	15260
True	atteindre	feminine	singular	atteinte	0	3347
True	atteler	masculine	singular	attelage	0	337
True	attendre	feminine	singular	attente	0	2993
True	attendrir	masculine	singular	attendrissement	0	10
True	attenir	feminine	singular	attenance	0	2
True	attenter	masculine	singular	attentat	0	2794
True	atténuer	feminine	singular	atténuation	0	219
True	atterrer	masculine	singular	atterrage	0	2
True	atterrir	masculine	singular	atterrissage	0	1752
True	atterrir	masculine	singular	atterrissement	0	12
True	attester	feminine	singular	attestation	0	268
True	attiédir	masculine	singular	attiédissement	0	1
True	attirer	feminine	singular	attraction	0	3753
True	attiser	masculine	singular	attisement	0	1
True	attoucher	masculine	singular	attouchement	0	16
True	attraire	feminine	singular	attraction	0	3753
True	attraper	masculine	singular	attrapage	0	6
True	attraper	feminine	singular	attrape	0	292
True	attribuer	feminine	singular	attribution	0	1874
True	attrouper	masculine	singular	attroupement	0	24
True	auditer	masculine	singular	audit	0	545
True	auditionner	feminine	singular	audition	0	889
True	augmenter	feminine	singular	augmentation	0	5458
True	augurer	masculine	singular	augure	0	158
True	aumôner	feminine	singular	aumône	0	633
True	auner	masculine	singular	aunage	0	2
True	ausculter	feminine	singular	auscultation	0	103
True	authentifier	feminine	singular	authentification	0	441
True	autodéterminer	feminine	singular	autodétermination	0	259
True	autoféconder	feminine	singular	autofécondation	0	26
True	autofinancer	masculine	singular	autofinancement	0	92
True	automatiser	feminine	singular	automatisation	0	276
True	autonomiser	feminine	singular	autonomisation	0	60
True	autopsier	feminine	singular	autopsie	0	349
True	autoriser	feminine	singular	autorisation	0	3675
True	avachir	masculine	singular	avachissement	0	2
True	avaler	masculine	singular	avalage	0	3
True	avaler	masculine	singular	avalement	0	2
True	avaliser	feminine	singular	avalisation	0	1
True	avancer	feminine	singular	avancée	0	2421
True	avancer	masculine	singular	avancement	0	31391
True	avancer	feminine	singular	avance	0	5499
True	avertir	masculine	singular	avertissement	0	2151
True	aveugler	masculine	singular	aveuglement	0	169
True	aveulir	masculine	singular	aveulissement	0	1
True	avilir	masculine	singular	avilissement	0	16
True	avironner	masculine	singular	aviron	0	1345
True	avitailler	masculine	singular	avitaillement	0	19
True	aviver	masculine	singular	avivage	0	4
True	aviver	masculine	singular	avivement	0	2
True	avorter	masculine	singular	avortement	0	923
True	avouer	masculine	singular	aveu	0	505
True	axiomatiser	feminine	singular	axiomatisation	0	30
True	babiller	masculine	singular	babillage	0	4
True	babiller	masculine	singular	babillement	0	1
True	bâcher	masculine	singular	bâchage	0	3
True	bachoter	masculine	singular	bachotage	0	5
True	bâcler	masculine	singular	bâclage	0	2
True	badigeonner	masculine	singular	badigeonnage	0	4
True	badiner	masculine	singular	badinage	0	32
True	badiner	feminine	singular	badinerie	0	7
True	bafouer	masculine	singular	bafouement	0	1
True	bafouiller	masculine	singular	bafouillage	0	1
True	bagarrer	feminine	singular	bagarre	0	477
True	baguenauder	feminine	singular	baguenaude	0	1
True	baguer	masculine	singular	baguage	0	20
True	bahuter	masculine	singular	bahutage	0	3
True	baigner	feminine	singular	baignade	0	260
True	baigner	masculine	singular	baignage	0	1
True	baigner	masculine	singular	bain	0	1960
True	bailler	masculine	singular	baillement	0	1
True	bâiller	masculine	singular	bâillement	0	28
True	baiser	masculine	singular	baisage	0	1
True	baiser	masculine	singular	baisement	0	1
True	baiser	feminine	singular	baise	0	117
True	baiser	masculine	singular	baiser	0	930
True	baisser	feminine	singular	baisse	0	3291
True	balader	feminine	singular	balade	0	446
True	balancer	masculine	singular	balancement	0	83
True	balayer	masculine	singular	balayage	0	450
True	balbutier	masculine	singular	balbutiement	0	7
True	baliser	masculine	singular	balisage	0	372
True	balkaniser	feminine	singular	balkanisation	0	16
True	ballaster	masculine	singular	ballastage	0	21
True	ballonner	masculine	singular	ballonnement	0	10
True	ballotter	masculine	singular	ballottage	0	25
True	ballotter	masculine	singular	ballottement	0	13
True	banaliser	feminine	singular	banalisation	0	102
True	bancher	masculine	singular	banchage	0	2
True	bander	masculine	singular	bandage	0	63
True	bander	feminine	singular	bandaison	0	1
True	bannir	masculine	singular	bannissement	0	590
True	baptiser	masculine	singular	baptême	0	1911
True	baraquer	masculine	singular	baraquement	0	31
True	baratter	masculine	singular	barattage	0	14
True	barbariser	feminine	singular	barbarisation	0	8
True	barboter	masculine	singular	barbotage	0	20
True	barbouiller	masculine	singular	barbouillage	0	5
True	barder	masculine	singular	bardage	0	49
True	baroquiser	feminine	singular	baroquisation	0	4
True	barouder	masculine	singular	baroud	0	78
True	barrer	masculine	singular	barrage	0	5970
True	barricader	masculine	singular	barricadage	0	1
True	barrir	masculine	singular	barrissement	0	1
True	barrir	masculine	singular	barrit	0	4
True	barrotter	masculine	singular	barrotage	0	1
True	basculer	masculine	singular	basculement	0	205
True	bastinguer	masculine	singular	bastingage	0	9
True	bastonner	masculine	singular	bastonnage	0	1
True	bastonner	feminine	singular	baston	0	114
True	batailler	feminine	singular	bataille	0	41398
True	batifoler	masculine	singular	batifolage	0	6
True	bâtir	masculine	singular	bâtiment	0	9262
True	bâtir	masculine	singular	bâtissage	0	1
True	bâtir	feminine	singular	bâtisse	0	279
True	bâtonner	masculine	singular	bâtonnage	0	5
True	battre	masculine	singular	bat	0	5783
True	battre	masculine	singular	battage	0	100
True	battre	feminine	singular	battaison	0	2
True	battre	masculine	singular	battement	0	290
True	battre	feminine	singular	batte	0	254
True	battre	feminine	singular	batterie	0	7306
True	battre	feminine	singular	battue	0	2026
True	bavarder	masculine	singular	bavardage	0	45
True	baver	masculine	singular	bavement	0	3
True	béatifier	feminine	singular	béatification	0	191
True	bécher	masculine	singular	béchage	0	2
True	bêcher	masculine	singular	bêchage	0	4
True	becquer	feminine	singular	becquée	0	34
True	bégayer	masculine	singular	bégaiement	0	61
True	bégayer	masculine	singular	bégayement	0	2
True	bêler	masculine	singular	bêlement	0	6
True	bénir	feminine	singular	bénédiction	0	719
True	béquiller	masculine	singular	béquillage	0	4
True	berbériser	feminine	singular	berbérisation	0	2
True	bercer	masculine	singular	bercement	0	7
True	bétonner	masculine	singular	bétonnage	0	22
True	beugler	masculine	singular	beuglement	0	6
True	beurrer	masculine	singular	beurrage	0	2
True	biaiser	masculine	singular	biaisage	0	1
True	bidonner	masculine	singular	bidonnage	0	2
True	bidouiller	masculine	singular	bidouillage	0	16
True	bidouiller	feminine	singular	bidouille	0	33
True	biffer	masculine	singular	biffage	0	3
True	biffer	feminine	singular	biffure	0	1
True	biner	masculine	singular	binage	0	17
True	bipolariser	feminine	singular	bipolarisation	0	46
True	biseauter	masculine	singular	biseautage	0	6
True	bissecter	feminine	singular	bissection	0	2
True	bistrer	masculine	singular	bistrage	0	1
True	bitumer	masculine	singular	bitumage	0	1
True	bizuter	masculine	singular	bizutage	0	82
True	blanchir	masculine	singular	blanchiment	0	462
True	blanchir	masculine	singular	blanchissage	0	69
True	blanchir	masculine	singular	blanchissement	0	25
True	blasonner	masculine	singular	blasonnage	0	4
True	blasonner	masculine	singular	blasonnement	0	550
True	blasphémer	masculine	singular	blasphème	0	257
True	blétir	masculine	singular	blétissement	0	1
True	blettir	masculine	singular	blettissement	0	7
True	blettir	feminine	singular	blettissure	0	1
True	bleuir	masculine	singular	bleuissage	0	4
True	bleuir	masculine	singular	bleuissement	0	18
True	blinder	masculine	singular	blindage	0	1042
True	bloquer	masculine	singular	blocage	0	2581
True	bloquer	masculine	singular	bloc	0	6366
True	bloquer	masculine	singular	bloquage	0	48
True	bloquer	feminine	singular	bloque	0	628
True	bluffer	masculine	singular	bluff	0	523
True	bluter	masculine	singular	blutage	0	12
True	bobiner	masculine	singular	bobinage	0	98
True	boire	masculine	singular	boire	0	1942
True	boiser	masculine	singular	boisage	0	20
True	boiser	masculine	singular	boisement	0	82
True	boiter	masculine	singular	boitement	0	1
True	boitiller	masculine	singular	boitillement	0	1
True	bolcheviser	feminine	singular	bolchevisation	0	9
True	bombarder	masculine	singular	bombardement	0	2030
True	bombarder	feminine	singular	bombarderie	0	2
True	bomber	masculine	singular	bombage	0	1
True	bondir	masculine	singular	bondissement	0	1
True	bondir	masculine	singular	bond	0	2166
True	bonifier	feminine	singular	bonification	0	56
True	bonimenter	masculine	singular	boniment	0	21
True	border	masculine	singular	bordage	0	123
True	bordurer	masculine	singular	bordurage	0	1
True	borner	masculine	singular	bornage	0	36
True	bosseler	masculine	singular	bosselage	0	1
True	botter	masculine	singular	bottage	0	2
True	boucaner	masculine	singular	boucanage	0	3
True	boucharder	masculine	singular	bouchardage	0	2
True	boucher	masculine	singular	bouchage	0	52
True	boucler	masculine	singular	bouclage	0	66
True	boucler	masculine	singular	bouclement	0	1
True	bouder	feminine	singular	bouderie	0	5
True	bouffer	masculine	singular	bouffe	0	160
True	bougonner	masculine	singular	bougonnement	0	1
True	bouillir	masculine	singular	bouillage	0	1
True	bouillir	masculine	singular	bouillement	0	1
True	bouillir	masculine	singular	bouillon	0	1364
True	bouillonner	masculine	singular	bouillonnement	0	64
True	boulanger	feminine	singular	boulange	0	23
True	boulanger	feminine	singular	boulangerie	0	388
True	bouleverser	masculine	singular	bouleversement	0	316
True	boulocher	masculine	singular	boulochage	0	1
True	boulonner	masculine	singular	boulonnage	0	13
True	bouquiner	masculine	singular	bouquinage	0	1
True	bouquiner	feminine	singular	bouquinerie	0	3
True	bourdonner	masculine	singular	bourdonnement	0	53
True	bourgeonner	masculine	singular	bourgeonnement	0	46
True	bourrer	masculine	singular	bourrage	0	69
True	boursicoter	masculine	singular	boursicotage	0	1
True	boursoufler	masculine	singular	boursouflement	0	1
True	bousculer	feminine	singular	bousculade	0	80
True	bousculer	masculine	singular	bousculement	0	1
True	bouteroller	masculine	singular	bouterollage	0	1
True	boutonner	masculine	singular	boutonnage	0	6
True	bouturer	masculine	singular	bouturage	0	116
True	boxer	feminine	singular	boxe	0	2223
